Rozdzial;Elementy konstrukcyjne
Slowo;Definicja;Synonimy;AudioE;AudioP;Obrazy
front elevation;fasada;Synonimy: front;[sound:quizlet-16914793117-front.mp3];[sound:quizlet-16914793117-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075203_200115_1305_40.jpg'>
gable;wimperga/szczyt;;[sound:quizlet-16914793122-front.mp3];[sound:quizlet-16914793122-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075268_191229_1745_32.jpg'>
gable and valley roof;skrzyżowanie dwuspadowe;;[sound:quizlet-16914793123-front.mp3];[sound:quizlet-16914793123-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075269_200115_1358_49.jpg'>
gable roof;dach dwuspadowy stromy;;[sound:quizlet-16914793124-front.mp3];[sound:quizlet-16914793124-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075270_200114_1646_59.jpg'>
gable stud;słupek szczytowe;;[sound:quizlet-16914793125-front.mp3];[sound:quizlet-16914793125-back.mp3];"<img src=""quizlet-a.5aFlsiMIj3nCKMDkyQdA.jpg"">"
gasket;uszczelka;;[sound:quizlet-16914793130-front.mp3];[sound:quizlet-16914793130-back.mp3];"<img src=""quizlet--wf57.MKRFQ-9DyEBoy.xw.jpg"">"
gear;koło zębate;;[sound:quizlet-16914793133-front.mp3];[sound:quizlet-16914793133-back.mp3];"<img src=""quizlet-3LYuEEIKCitvwcrL2Lvvaw.jpg"">"
girder;dźwigar;;[sound:quizlet-16914793135-front.mp3];[sound:quizlet-16914793135-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376073_200115_1255_59.jpg'>
glassed roof;szklany dach;;[sound:quizlet-16914793138-front.mp3];[sound:quizlet-16914793138-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075276_200115_1337_41.jpg'>
gouge;wyżłobienie;;[sound:quizlet-16914793144-front.mp3];[sound:quizlet-16914793144-back.mp3];"<img src=""quizlet-aXOVHr.XWJqUDFjUAq3YIg.jpg"">"
gravitation;grawitacja;;[sound:quizlet-16914793153-front.mp3];[sound:quizlet-16914793153-back.mp3];"<img src=""quizlet-T85RV2a7MHYkU-zmLMX1sQ.jpg"">"
grillage;ruszt;Synonimy: grate, grid, grille;[sound:quizlet-16914793158-front.mp3];[sound:quizlet-16914793158-back.mp3];"<img src=""quizlet-PlxsKDbYaU69t0xwlU2Rbg.png"">"
groove;rowek;;[sound:quizlet-16914793164-front.mp3];[sound:quizlet-16914793164-back.mp3];"<img src=""quizlet-R9oGnBdwSrdEt5Sg5AZTAA.jpg"">"
ground sill;grodza;;[sound:quizlet-16914793168-front.mp3];[sound:quizlet-16914793168-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236075284_200114_1631_17.jpg'>
gutter;rynna;;[sound:quizlet-16914793174-front.mp3];[sound:quizlet-16914793174-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_214376104_200115_1304_55.jpg'>
hanging;wiszące;;[sound:quizlet-16914793184-front.mp3];[sound:quizlet-16914793184-back.mp3];"<img src=""quizlet-9QpZEd8rsy5YvshL_wF3qA.jpg"">"
helix;spirala;Synonimy: spiral;[sound:quizlet-16914793192-front.mp3];[sound:quizlet-16914793192-back.mp3];"<img src=""helix.png"">"
helm roof;hełm ostrosłupowy;;[sound:quizlet-16914793193-front.mp3];[sound:quizlet-16914793193-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077304_200115_1359_29.jpg'>
hip roof;dach czterospadowy;;[sound:quizlet-16914793197-front.mp3];[sound:quizlet-16914793197-back.mp3];<img src='architektura-i-budownictwo-po-angielsku_2243187c_236077307_200114_1647_12.jpg'>
